Sno,year,state,month,number,date
3535,2005,Paraiba,Outubro,155,01-01-2005
3536,2006,Paraiba,Outubro,135,01-01-2006
3537,2007,Paraiba,Outubro,111,01-01-2007
3538,2008,Paraiba,Outubro,80,01-01-2008
3539,2009,Paraiba,Outubro,117,01-01-2009
3540,2010,Paraiba,Outubro,150,01-01-2010
3541,2011,Paraiba,Outubro,200,01-01-2011
3542,2012,Paraiba,Outubro,136,01-01-2012
3543,2013,Paraiba,Outubro,58,01-01-2013
3544,2014,Paraiba,Outubro,70,01-01-2014
3545,2015,Paraiba,Outubro,121,01-01-2015
3546,2016,Paraiba,Outubro,304,01-01-2016
3547,2017,Paraiba,Outubro,123,01-01-2017
3548,1998,Paraiba,Novembro,46,01-01-1998
3549,1999,Paraiba,Novembro,38,01-01-1999
3550,2000,Paraiba,Novembro,65,01-01-2000
3551,2001,Paraiba,Novembro,294,01-01-2001
3552,2002,Paraiba,Novembro,238,01-01-2002
3553,2003,Paraiba,Novembro,538,01-01-2003
3554,2004,Paraiba,Novembro,331,01-01-2004
3555,2005,Paraiba,Novembro,280,01-01-2005
3556,2006,Paraiba,Novembro,215,01-01-2006
3557,2007,Paraiba,Novembro,256,01-01-2007
3558,2008,Paraiba,Novembro,175,01-01-2008
3559,2009,Paraiba,Novembro,428,01-01-2009
3560,2010,Paraiba,Novembro,451,01-01-2010
3561,2011,Paraiba,Novembro,359,01-01-2011
3562,2012,Paraiba,Novembro,130,01-01-2012
3563,2013,Paraiba,Novembro,95,01-01-2013
3564,2014,Paraiba,Novembro,111,01-01-2014
3565,2015,Paraiba,Novembro,206,01-01-2015
3566,2016,Paraiba,Novembro,132,01-01-2016
3567,2017,Paraiba,Novembro,101,01-01-2017
3568,1998,Paraiba,Dezembro,51,01-01-1998
3569,1999,Paraiba,Dezembro,40,01-01-1999
3570,2000,Paraiba,Dezembro,34,01-01-2000
3571,2001,Paraiba,Dezembro,70,01-01-2001
3572,2002,Paraiba,Dezembro,163,01-01-2002
3573,2003,Paraiba,Dezembro,288,01-01-2003
3574,2004,Paraiba,Dezembro,351,01-01-2004
3575,2005,Paraiba,Dezembro,159,01-01-2005
3576,2006,Paraiba,Dezembro,196,01-01-2006
3577,2007,Paraiba,Dezembro,133,01-01-2007
3578,2008,Paraiba,Dezembro,187,01-01-2008
3579,2009,Paraiba,Dezembro,270,01-01-2009
3580,2010,Paraiba,Dezembro,65,01-01-2010
3581,2011,Paraiba,Dezembro,179,01-01-2011
3582,2012,Paraiba,Dezembro,62,01-01-2012
3583,2013,Paraiba,Dezembro,78,01-01-2013
3584,2014,Paraiba,Dezembro,62,01-01-2014
3585,2015,Paraiba,Dezembro,122,01-01-2015
3586,2016,Paraiba,Dezembro,8,01-01-2016
3587,1998,Paraiba,Janeiro,0,01-01-1998
3588,1999,Paraiba,Janeiro,7,01-01-1999
3589,2000,Paraiba,Janeiro,49,01-01-2000
3590,2001,Paraiba,Janeiro,32,01-01-2001
3591,2002,Paraiba,Janeiro,47,01-01-2002
3592,2003,Paraiba,Janeiro,109,01-01-2003
3593,2004,Paraiba,Janeiro,88,01-01-2004
3594,2005,Paraiba,Janeiro,55,01-01-2005
3595,2006,Paraiba,Janeiro,78,01-01-2006
3596,2007,Paraiba,Janeiro,11,01-01-2007
3597,2008,Paraiba,Janeiro,35,01-01-2008
3598,2009,Paraiba,Janeiro,35,01-01-2009
3599,2010,Paraiba,Janeiro,18,01-01-2010
3600,2011,Paraiba,Janeiro,35,01-01-2011
3601,2012,Paraiba,Janeiro,31,01-01-2012
3602,2013,Paraiba,Janeiro,28,01-01-2013
3603,2014,Paraiba,Janeiro,86,01-01-2014
3604,2015,Paraiba,Janeiro,120,01-01-2015
3605,2016,Paraiba,Janeiro,113,01-01-2016
3606,2017,Paraiba,Janeiro,55,01-01-2017
3607,1998,Paraiba,Fevereiro,0,01-01-1998
3608,1999,Paraiba,Fevereiro,22,01-01-1999
3609,2000,Paraiba,Fevereiro,67,01-01-2000
3610,2001,Paraiba,Fevereiro,8,01-01-2001
3611,2002,Paraiba,Fevereiro,24,01-01-2002
3612,2003,Paraiba,Fevereiro,46,01-01-2003
3613,2004,Paraiba,Fevereiro,42,01-01-2004
3614,2005,Paraiba,Fevereiro,77,01-01-2005
3615,2006,Paraiba,Fevereiro,60,01-01-2006
3616,2007,Paraiba,Fevereiro,32,01-01-2007
3617,2008,Paraiba,Fevereiro,38,01-01-2008
3618,2009,Paraiba,Fevereiro,21,01-01-2009
3619,2010,Paraiba,Fevereiro,46,01-01-2010
3620,2011,Paraiba,Fevereiro,8,01-01-2011
3621,2012,Paraiba,Fevereiro,40,01-01-2012
3622,2013,Paraiba,Fevereiro,9,01-01-2013
3623,2014,Paraiba,Fevereiro,52,01-01-2014
3624,2015,Paraiba,Fevereiro,58,01-01-2015
3625,2016,Paraiba,Fevereiro,31,01-01-2016
3626,2017,Paraiba,Fevereiro,60,01-01-2017
3627,1998,Paraiba,Março,0,01-01-1998
3628,1999,Paraiba,Março,40,01-01-1999
3629,2000,Paraiba,Março,52,01-01-2000
3630,2001,Paraiba,Março,12,01-01-2001
3631,2002,Paraiba,Março,18,01-01-2002
3632,2003,Paraiba,Março,76,01-01-2003
3633,2004,Paraiba,Março,83,01-01-2004
3634,2005,Paraiba,Março,84,01-01-2005
3635,2006,Paraiba,Março,56,01-01-2006
3636,2007,Paraiba,Março,54,01-01-2007
3637,2008,Paraiba,Março,43,01-01-2008
3638,2009,Paraiba,Março,57,01-01-2009
3639,2010,Paraiba,Março,22,01-01-2010
3640,2011,Paraiba,Março,21,01-01-2011
3641,2012,Paraiba,Março,55,01-01-2012
3642,2013,Paraiba,Março,18,01-01-2013
3643,2014,Paraiba,Março,42,01-01-2014
3644,2015,Paraiba,Março,55,01-01-2015
3645,2016,Paraiba,Março,63,01-01-2016
3646,2017,Paraiba,Março,43,01-01-2017
3647,1998,Paraiba,Abril,0,01-01-1998
3648,1999,Paraiba,Abril,39,01-01-1999
3649,2000,Paraiba,Abril,51,01-01-2000
3650,2001,Paraiba,Abril,43,01-01-2001
3651,2002,Paraiba,Abril,84,01-01-2002
3652,2003,Paraiba,Abril,130,01-01-2003
3653,2004,Paraiba,Abril,68,01-01-2004
3654,2005,Paraiba,Abril,22,01-01-2005
3655,2006,Paraiba,Abril,49,01-01-2006
3656,2007,Paraiba,Abril,14,01-01-2007
3657,2008,Paraiba,Abril,62,01-01-2008
3658,2009,Paraiba,Abril,80,01-01-2009
3659,2010,Paraiba,Abril,71,01-01-2010
3660,2011,Paraiba,Abril,38,01-01-2011
3661,2012,Paraiba,Abril,38,01-01-2012
3662,2013,Paraiba,Abril,72,01-01-2013
3663,2014,Paraiba,Abril,38,01-01-2014
3664,2015,Paraiba,Abril,83,01-01-2015
3665,2016,Paraiba,Abril,167,01-01-2016
3666,2017,Paraiba,Abril,77,01-01-2017
3667,1998,Paraiba,Maio,0,01-01-1998
3668,1999,Paraiba,Maio,57,01-01-1999
3669,2000,Paraiba,Maio,43,01-01-2000
3670,2001,Paraiba,Maio,26,01-01-2001
3671,2002,Paraiba,Maio,65,01-01-2002
3672,2003,Paraiba,Maio,115,01-01-2003
3673,2004,Paraiba,Maio,9,01-01-2004
3674,2005,Paraiba,Maio,125,01-01-2005
3675,2006,Paraiba,Maio,90,01-01-2006
3676,2007,Paraiba,Maio,14,01-01-2007
3677,2008,Paraiba,Maio,41,01-01-2008
3678,2009,Paraiba,Maio,117,01-01-2009
3679,2010,Paraiba,Maio,39,01-01-2010
3680,2011,Paraiba,Maio,97,01-01-2011
3681,2012,Paraiba,Maio,86,01-01-2012
3682,2013,Paraiba,Maio,85,01-01-2013
3683,2014,Paraiba,Maio,109,01-01-2014
3684,2015,Paraiba,Maio,77,01-01-2015
3685,2016,Paraiba,Maio,72,01-01-2016
3686,2017,Paraiba,Maio,49,01-01-2017
3687,1998,Paraiba,Junho,36,01-01-1998
3688,1999,Paraiba,Junho,31,01-01-1999
3689,2000,Paraiba,Junho,53,01-01-2000
3690,2001,Paraiba,Junho,43,01-01-2001
3691,2002,Paraiba,Junho,115,01-01-2002
3692,2003,Paraiba,Junho,159,01-01-2003
3693,2004,Paraiba,Junho,147,01-01-2004
3694,2005,Paraiba,Junho,114,01-01-2005
3695,2006,Paraiba,Junho,62,01-01-2006
3696,2007,Paraiba,Junho,57,01-01-2007
3697,2008,Paraiba,Junho,17,01-01-2008
3698,2009,Paraiba,Junho,105,01-01-2009
3699,2010,Paraiba,Junho,55,01-01-2010
3700,2011,Paraiba,Junho,162,01-01-2011
3701,2012,Paraiba,Junho,77,01-01-2012
3702,2013,Paraiba,Junho,52,01-01-2013
3703,2014,Paraiba,Junho,112,01-01-2014
3704,2015,Paraiba,Junho,201,01-01-2015
3705,2016,Paraiba,Junho,238,01-01-2016
3706,2017,Paraiba,Junho,169,01-01-2017
3707,1998,Paraiba,Julho,59,01-01-1998
3708,1999,Paraiba,Julho,94,01-01-1999
3709,2000,Paraiba,Julho,98,01-01-2000
3710,2001,Paraiba,Julho,122,01-01-2001
3711,2002,Paraiba,Julho,172,01-01-2002
3712,2003,Paraiba,Julho,101,01-01-2003
3713,2004,Paraiba,Julho,148,01-01-2004
3714,2005,Paraiba,Julho,155,01-01-2005
3715,2006,Paraiba,Julho,139,01-01-2006
3716,2007,Paraiba,Julho,60,01-01-2007
3717,2008,Paraiba,Julho,87,01-01-2008
3718,2009,Paraiba,Julho,34,01-01-2009
3719,2010,Paraiba,Julho,196,01-01-2010
3720,2011,Paraiba,Julho,262,01-01-2011
3721,2012,Paraiba,Julho,111,01-01-2012
3722,2013,Paraiba,Julho,168,01-01-2013
3723,2014,Paraiba,Julho,215,01-01-2014
3724,2015,Paraiba,Julho,137,01-01-2015
3725,2016,Paraiba,Julho,504,01-01-2016
3726,2017,Paraiba,Julho,891,01-01-2017
3727,1998,Paraiba,Agosto,42,01-01-1998
3728,1999,Paraiba,Agosto,938,01-01-1999
3729,2000,Paraiba,Agosto,849,01-01-2000
3730,2001,Paraiba,Agosto,342,01-01-2001
3731,2002,Paraiba,Agosto,1.593,01-01-2002
3732,2003,Paraiba,Agosto,1.896,01-01-2003
3733,2004,Paraiba,Agosto,1.237,01-01-2004
3734,2005,Paraiba,Agosto,800,01-01-2005
3735,2006,Paraiba,Agosto,844,01-01-2006
3736,2007,Paraiba,Agosto,580,01-01-2007
3737,2008,Paraiba,Agosto,205,01-01-2008
3738,2009,Paraiba,Agosto,844,01-01-2009
3739,2010,Paraiba,Agosto,733,01-01-2010
3740,2011,Paraiba,Agosto,435,01-01-2011
3741,2012,Paraiba,Agosto,522,01-01-2012
3742,2013,Paraiba,Agosto,481,01-01-2013
3743,2014,Paraiba,Agosto,646,01-01-2014
3744,2015,Paraiba,Agosto,651,01-01-2015
3745,2016,Paraiba,Agosto,1.01,01-01-2016
3746,2017,Paraiba,Agosto,987,01-01-2017
3747,1998,Paraiba,Setembro,61,01-01-1998
3748,1999,Paraiba,Setembro,878,01-01-1999
3749,2000,Paraiba,Setembro,381,01-01-2000
3750,2001,Paraiba,Setembro,258,01-01-2001
3751,2002,Paraiba,Setembro,1.071,01-01-2002
3752,2003,Paraiba,Setembro,2.446,01-01-2003
3753,2004,Paraiba,Setembro,1.36,01-01-2004
3754,2005,Paraiba,Setembro,386,01-01-2005
3755,2006,Paraiba,Setembro,866,01-01-2006
3756,2007,Paraiba,Setembro,960,01-01-2007
3757,2008,Paraiba,Setembro,413,01-01-2008
3758,2009,Paraiba,Setembro,149,01-01-2009
3759,2010,Paraiba,Setembro,270,01-01-2010
3760,2011,Paraiba,Setembro,913,01-01-2011
3761,2012,Paraiba,Setembro,459,01-01-2012
3762,2013,Paraiba,Setembro,476,01-01-2013
3763,2014,Paraiba,Setembro,443,01-01-2014
3764,2015,Paraiba,Setembro,599,01-01-2015
3765,2016,Paraiba,Setembro,1.371,01-01-2016
3766,2017,Paraiba,Setembro,1.706,01-01-2017
3767,1998,Paraiba,Outubro,61,01-01-1998
3768,1999,Paraiba,Outubro,452,01-01-1999
3769,2000,Paraiba,Outubro,658,01-01-2000
3770,2001,Paraiba,Outubro,209,01-01-2001
3771,2002,Paraiba,Outubro,399,01-01-2002
3772,2003,Paraiba,Outubro,1.228,01-01-2003
3773,2004,Paraiba,Outubro,666,01-01-2004
3774,2005,Paraiba,Outubro,157,01-01-2005
3775,2006,Paraiba,Outubro,327,01-01-2006
3776,2007,Paraiba,Outubro,194,01-01-2007
3777,2008,Paraiba,Outubro,78,01-01-2008
3778,2009,Paraiba,Outubro,424,01-01-2009
3779,2010,Paraiba,Outubro,230,01-01-2010
3780,2011,Paraiba,Outubro,256,01-01-2011
3781,2012,Paraiba,Outubro,145,01-01-2012
3782,2013,Paraiba,Outubro,233,01-01-2013
3783,2014,Paraiba,Outubro,411,01-01-2014
3784,2015,Paraiba,Outubro,158,01-01-2015
3785,2016,Paraiba,Outubro,193,01-01-2016
3786,2017,Paraiba,Outubro,134,01-01-2017
3787,1998,Paraiba,Novembro,143,01-01-1998
3788,1999,Paraiba,Novembro,447,01-01-1999
3789,2000,Paraiba,Novembro,85,01-01-2000
3790,2001,Paraiba,Novembro,89,01-01-2001
3791,2002,Paraiba,Novembro,425,01-01-2002
3792,2003,Paraiba,Novembro,503,01-01-2003
3793,2004,Paraiba,Novembro,388,01-01-2004
3794,2005,Paraiba,Novembro,597,01-01-2005
3795,2006,Paraiba,Novembro,60,01-01-2006
3796,2007,Paraiba,Novembro,59,01-01-2007
3797,2008,Paraiba,Novembro,39,01-01-2008
3798,2009,Paraiba,Novembro,90,01-01-2009
3799,2010,Paraiba,Novembro,183,01-01-2010
3800,2011,Paraiba,Novembro,138,01-01-2011
3801,2012,Paraiba,Novembro,142,01-01-2012
3802,2013,Paraiba,Novembro,126,01-01-2013
3803,2014,Paraiba,Novembro,68,01-01-2014
3804,2015,Paraiba,Novembro,18,01-01-2015
3805,2016,Paraiba,Novembro,275,01-01-2016
3806,2017,Paraiba,Novembro,292,01-01-2017
3807,1998,Paraiba,Dezembro,82,01-01-1998
3808,1999,Paraiba,Dezembro,254,01-01-1999
3809,2000,Paraiba,Dezembro,159,01-01-2000
3810,2001,Paraiba,Dezembro,85,01-01-2001
3811,2002,Paraiba,Dezembro,165,01-01-2002
3812,2003,Paraiba,Dezembro,171,01-01-2003
3813,2004,Paraiba,Dezembro,151,01-01-2004
3814,2005,Paraiba,Dezembro,40,01-01-2005
3815,2006,Paraiba,Dezembro,6,01-01-2006
3816,2007,Paraiba,Dezembro,22,01-01-2007
3817,2008,Paraiba,Dezembro,62,01-01-2008
3818,2009,Paraiba,Dezembro,30,01-01-2009
3819,2010,Paraiba,Dezembro,37,01-01-2010
3820,2011,Paraiba,Dezembro,78,01-01-2011
3821,2012,Paraiba,Dezembro,54,01-01-2012
3822,2013,Paraiba,Dezembro,155,01-01-2013
3823,2014,Paraiba,Dezembro,78,01-01-2014
3824,2015,Paraiba,Dezembro,30,01-01-2015
3825,2016,Paraiba,Dezembro,45,01-01-2016
3826,1998,Pernambuco,Janeiro,0,01-01-1998
3827,1999,Pernambuco,Janeiro,102,01-01-1999
3828,2000,Pernambuco,Janeiro,3,01-01-2000
3829,2001,Pernambuco,Janeiro,7,01-01-2001
3830,2002,Pernambuco,Janeiro,10,01-01-2002
3831,2003,Pernambuco,Janeiro,188,01-01-2003
3832,2004,Pernambuco,Janeiro,29,01-01-2004
3833,2005,Pernambuco,Janeiro,221,01-01-2005
3834,2006,Pernambuco,Janeiro,148,01-01-2006
3835,2007,Pernambuco,Janeiro,156,01-01-2007
3836,2008,Pernambuco,Janeiro,170,01-01-2008
3837,2009,Pernambuco,Janeiro,256,01-01-2009
3838,2010,Pernambuco,Janeiro,47,01-01-2010
3839,2011,Pernambuco,Janeiro,49,01-01-2011
3840,2012,Pernambuco,Janeiro,146,01-01-2012
3841,2013,Pernambuco,Janeiro,55,01-01-2013
3842,2014,Pernambuco,Janeiro,99,01-01-2014
3843,2015,Pernambuco,Janeiro,109,01-01-2015
3844,2016,Pernambuco,Janeiro,24,01-01-2016
3845,2017,Pernambuco,Janeiro,52,01-01-2017
3846,1998,Pernambuco,Fevereiro,0,01-01-1998
3847,1999,Pernambuco,Fevereiro,13,01-01-1999
3848,2000,Pernambuco,Fevereiro,4,01-01-2000
3849,2001,Pernambuco,Fevereiro,2,01-01-2001
3850,2002,Pernambuco,Fevereiro,19,01-01-2002
3851,2003,Pernambuco,Fevereiro,35,01-01-2003
3852,2004,Pernambuco,Fevereiro,8,01-01-2004
3853,2005,Pernambuco,Fevereiro,33,01-01-2005
3854,2006,Pernambuco,Fevereiro,41,01-01-2006
3855,2007,Pernambuco,Fevereiro,21,01-01-2007
3856,2008,Pernambuco,Fevereiro,48,01-01-2008
3857,2009,Pernambuco,Fevereiro,28,01-01-2009
3858,2010,Pernambuco,Fevereiro,33,01-01-2010
3859,2011,Pernambuco,Fevereiro,25,01-01-2011
3860,2012,Pernambuco,Fevereiro,64,01-01-2012
3861,2013,Pernambuco,Fevereiro,29,01-01-2013
3862,2014,Pernambuco,Fevereiro,25,01-01-2014
3863,2015,Pernambuco,Fevereiro,55,01-01-2015
3864,2016,Pernambuco,Fevereiro,19,01-01-2016
3865,2017,Pernambuco,Fevereiro,23,01-01-2017
3866,1998,Pernambuco,Março,0,01-01-1998
3867,1999,Pernambuco,Março,27,01-01-1999
3868,2000,Pernambuco,Março,14,01-01-2000
3869,2001,Pernambuco,Março,0,01-01-2001
3870,2002,Pernambuco,Março,24,01-01-2002
3871,2003,Pernambuco,Março,9,01-01-2003
3872,2004,Pernambuco,Março,6,01-01-2004
3873,2005,Pernambuco,Março,45,01-01-2005
3874,2006,Pernambuco,Março,18,01-01-2006
3875,2007,Pernambuco,Março,4,01-01-2007
3876,2008,Pernambuco,Março,32,01-01-2008
3877,2009,Pernambuco,Março,15,01-01-2009
3878,2010,Pernambuco,Março,59,01-01-2010
3879,2011,Pernambuco,Março,39,01-01-2011
3880,2012,Pernambuco,Março,44,01-01-2012
3881,2013,Pernambuco,Março,40,01-01-2013
3882,2014,Pernambuco,Março,36,01-01-2014
3883,2015,Pernambuco,Março,33,01-01-2015
3884,2016,Pernambuco,Março,4,01-01-2016
3885,2017,Pernambuco,Março,7,01-01-2017
3886,1998,Pernambuco,Abril,0,01-01-1998
3887,1999,Pernambuco,Abril,2,01-01-1999
3888,2000,Pernambuco,Abril,1,01-01-2000
3889,2001,Pernambuco,Abril,2,01-01-2001
3890,2002,Pernambuco,Abril,5,01-01-2002
3891,2003,Pernambuco,Abril,7,01-01-2003
3892,2004,Pernambuco,Abril,5,01-01-2004
3893,2005,Pernambuco,Abril,1,01-01-2005
3894,2006,Pernambuco,Abril,2,01-01-2006
3895,2007,Pernambuco,Abril,1,01-01-2007
3896,2008,Pernambuco,Abril,5,01-01-2008
3897,2009,Pernambuco,Abril,3,01-01-2009
3898,2010,Pernambuco,Abril,2,01-01-2010
3899,2011,Pernambuco,Abril,22,01-01-2011
3900,2012,Pernambuco,Abril,46,01-01-2012
3901,2013,Pernambuco,Abril,11,01-01-2013
3902,2014,Pernambuco,Abril,10,01-01-2014
3903,2015,Pernambuco,Abril,30,01-01-2015
3904,2016,Pernambuco,Abril,8,01-01-2016
3905,2017,Pernambuco,Abril,9,01-01-2017
3906,1998,Pernambuco,Maio,0,01-01-1998
3907,1999,Pernambuco,Maio,6,01-01-1999
3908,2000,Pernambuco,Maio,7,01-01-2000
3909,2001,Pernambuco,Maio,5,01-01-2001
3910,2002,Pernambuco,Maio,13,01-01-2002
3911,2003,Pernambuco,Maio,1,01-01-2003
3912,2004,Pernambuco,Maio,2,01-01-2004
3913,2005,Pernambuco,Maio,1,01-01-2005
3914,2006,Pernambuco,Maio,1,01-01-2006
3915,2007,Pernambuco,Maio,0,01-01-2007
3916,2008,Pernambuco,Maio,0,01-01-2008
3917,2009,Pernambuco,Maio,0,01-01-2009
3918,2010,Pernambuco,Maio,8,01-01-2010
3919,2011,Pernambuco,Maio,1,01-01-2011
3920,2012,Pernambuco,Maio,36,01-01-2012
3921,2013,Pernambuco,Maio,9,01-01-2013
3922,2014,Pernambuco,Maio,4,01-01-2014
3923,2015,Pernambuco,Maio,17,01-01-2015
3924,2016,Pernambuco,Maio,6,01-01-2016
3925,2017,Pernambuco,Maio,13,01-01-2017
3926,1998,Pernambuco,Junho,1,01-01-1998
3927,1999,Pernambuco,Junho,7,01-01-1999
3928,2000,Pernambuco,Junho,4,01-01-2000
3929,2001,Pernambuco,Junho,2,01-01-2001
3930,2002,Pernambuco,Junho,1,01-01-2002
3931,2003,Pernambuco,Junho,2,01-01-2003
3932,2004,Pernambuco,Junho,4,01-01-2004
3933,2005,Pernambuco,Junho,3,01-01-2005
3934,2006,Pernambuco,Junho,0,01-01-2006
3935,2007,Pernambuco,Junho,1,01-01-2007
3936,2008,Pernambuco,Junho,0,01-01-2008
3937,2009,Pernambuco,Junho,1,01-01-2009
3938,2010,Pernambuco,Junho,1,01-01-2010
3939,2011,Pernambuco,Junho,4,01-01-2011
3940,2012,Pernambuco,Junho,12,01-01-2012
3941,2013,Pernambuco,Junho,12,01-01-2013
3942,2014,Pernambuco,Junho,3,01-01-2014
3943,2015,Pernambuco,Junho,3,01-01-2015
3944,2016,Pernambuco,Junho,4,01-01-2016
3945,2017,Pernambuco,Junho,5,01-01-2017
3946,1998,Pernambuco,Julho,5,01-01-1998
3947,1999,Pernambuco,Julho,2,01-01-1999
3948,2000,Pernambuco,Julho,0,01-01-2000
3949,2001,Pernambuco,Julho,6,01-01-2001
3950,2002,Pernambuco,Julho,8,01-01-2002
3951,2003,Pernambuco,Julho,5,01-01-2003
3952,2004,Pernambuco,Julho,13,01-01-2004
3953,2005,Pernambuco,Julho,1,01-01-2005
3954,2006,Pernambuco,Julho,1,01-01-2006
3955,2007,Pernambuco,Julho,3,01-01-2007
3956,2008,Pernambuco,Julho,0,01-01-2008
3957,2009,Pernambuco,Julho,1,01-01-2009
3958,2010,Pernambuco,Julho,7,01-01-2010
3959,2011,Pernambuco,Julho,2,01-01-2011
3960,2012,Pernambuco,Julho,11,01-01-2012
3961,2013,Pernambuco,Julho,4,01-01-2013
3962,2014,Pernambuco,Julho,11,01-01-2014
3963,2015,Pernambuco,Julho,13,01-01-2015
3964,2016,Pernambuco,Julho,17,01-01-2016
3965,2017,Pernambuco,Julho,2,01-01-2017
3966,1998,Pernambuco,Agosto,12,01-01-1998
3967,1999,Pernambuco,Agosto,3,01-01-1999
3968,2000,Pernambuco,Agosto,31,01-01-2000
3969,2001,Pernambuco,Agosto,27,01-01-2001
3970,2002,Pernambuco,Agosto,37,01-01-2002
3971,2003,Pernambuco,Agosto,26,01-01-2003
3972,2004,Pernambuco,Agosto,41,01-01-2004
3973,2005,Pernambuco,Agosto,10,01-01-2005
3974,2006,Pernambuco,Agosto,8,01-01-2006
3975,2007,Pernambuco,Agosto,20,01-01-2007
3976,2008,Pernambuco,Agosto,2,01-01-2008
3977,2009,Pernambuco,Agosto,10,01-01-2009
3978,2010,Pernambuco,Agosto,29,01-01-2010
3979,2011,Pernambuco,Agosto,27,01-01-2011
3980,2012,Pernambuco,Agosto,27,01-01-2012
3981,2013,Pernambuco,Agosto,14,01-01-2013
3982,2014,Pernambuco,Agosto,23,01-01-2014
3983,2015,Pernambuco,Agosto,21,01-01-2015
3984,2016,Pernambuco,Agosto,42,01-01-2016
3985,2017,Pernambuco,Agosto,20,01-01-2017
3986,1998,Pernambuco,Setembro,177,01-01-1998
3987,1999,Pernambuco,Setembro,64,01-01-1999
3988,2000,Pernambuco,Setembro,130,01-01-2000
3989,2001,Pernambuco,Setembro,298,01-01-2001
3990,2002,Pernambuco,Setembro,374,01-01-2002
3991,2003,Pernambuco,Setembro,510,01-01-2003
3992,2004,Pernambuco,Setembro,192,01-01-2004
3993,2005,Pernambuco,Setembro,154,01-01-2005
3994,2006,Pernambuco,Setembro,147,01-01-2006
3995,2007,Pernambuco,Setembro,164,01-01-2007
3996,2008,Pernambuco,Setembro,92,01-01-2008
3997,2009,Pernambuco,Setembro,164,01-01-2009
3998,2010,Pernambuco,Setembro,179,01-01-2010
3999,2011,Pernambuco,Setembro,243,01-01-2011
4000,2012,Pernambuco,Setembro,192,01-01-2012
4001,2013,Pernambuco,Setembro,143,01-01-2013
4002,2014,Pernambuco,Setembro,63,01-01-2014
4003,2015,Pernambuco,Setembro,116,01-01-2015
4004,2016,Pernambuco,Setembro,171,01-01-2016
4005,2017,Pernambuco,Setembro,69,01-01-2017
4006,1998,Pernambuco,Outubro,372,01-01-1998
4007,1999,Pernambuco,Outubro,180,01-01-1999
4008,2000,Pernambuco,Outubro,411,01-01-2000
4009,2001,Pernambuco,Outubro,461,01-01-2001
4010,2002,Pernambuco,Outubro,638,01-01-2002
4011,2003,Pernambuco,Outubro,859,01-01-2003
4012,2004,Pernambuco,Outubro,545,01-01-2004
4013,2005,Pernambuco,Outubro,408,01-01-2005
4014,2006,Pernambuco,Outubro,310,01-01-2006
4015,2007,Pernambuco,Outubro,702,01-01-2007
4016,2008,Pernambuco,Outubro,274,01-01-2008
4017,2009,Pernambuco,Outubro,254,01-01-2009
4018,2010,Pernambuco,Outubro,347,01-01-2010
4019,2011,Pernambuco,Outubro,461,01-01-2011
4020,2012,Pernambuco,Outubro,222,01-01-2012
4021,2013,Pernambuco,Outubro,161,01-01-2013
4022,2014,Pernambuco,Outubro,174,01-01-2014
4023,2015,Pernambuco,Outubro,194,01-01-2015
4024,2016,Pernambuco,Outubro,319,01-01-2016
4025,2017,Pernambuco,Outubro,256,01-01-2017
4026,1998,Pernambuco,Novembro,141,01-01-1998
4027,1999,Pernambuco,Novembro,41,01-01-1999
4028,2000,Pernambuco,Novembro,64,01-01-2000
4029,2001,Pernambuco,Novembro,208,01-01-2001
4030,2002,Pernambuco,Novembro,521,01-01-2002
4031,2003,Pernambuco,Novembro,560,01-01-2003
4032,2004,Pernambuco,Novembro,465,01-01-2004
4033,2005,Pernambuco,Novembro,452,01-01-2005
4034,2006,Pernambuco,Novembro,385,01-01-2006
4035,2007,Pernambuco,Novembro,359,01-01-2007
4036,2008,Pernambuco,Novembro,363,01-01-2008
4037,2009,Pernambuco,Novembro,486,01-01-2009
4038,2010,Pernambuco,Novembro,831,01-01-2010
4039,2011,Pernambuco,Novembro,352,01-01-2011
4040,2012,Pernambuco,Novembro,181,01-01-2012
4041,2013,Pernambuco,Novembro,110,01-01-2013
4042,2014,Pernambuco,Novembro,111,01-01-2014
4043,2015,Pernambuco,Novembro,315,01-01-2015
4044,2016,Pernambuco,Novembro,191,01-01-2016
4045,2017,Pernambuco,Novembro,66,01-01-2017
4046,1998,Pernambuco,Dezembro,59,01-01-1998
4047,1999,Pernambuco,Dezembro,16,01-01-1999
4048,2000,Pernambuco,Dezembro,22,01-01-2000
4049,2001,Pernambuco,Dezembro,62,01-01-2001
4050,2002,Pernambuco,Dezembro,259,01-01-2002
4051,2003,Pernambuco,Dezembro,229,01-01-2003
4052,2004,Pernambuco,Dezembro,373,01-01-2004
4053,2005,Pernambuco,Dezembro,191,01-01-2005
4054,2006,Pernambuco,Dezembro,207,01-01-2006
4055,2007,Pernambuco,Dezembro,200,01-01-2007
4056,2008,Pernambuco,Dezembro,203,01-01-2008
4057,2009,Pernambuco,Dezembro,351,01-01-2009
4058,2010,Pernambuco,Dezembro,117,01-01-2010
4059,2011,Pernambuco,Dezembro,364,01-01-2011
4060,2012,Pernambuco,Dezembro,108,01-01-2012
4061,2013,Pernambuco,Dezembro,141,01-01-2013
4062,2014,Pernambuco,Dezembro,101,01-01-2014
4063,2015,Pernambuco,Dezembro,176,01-01-2015
4064,2016,Pernambuco,Dezembro,161,01-01-2016
