Sno,year,state,month,number,date
223,2000,Acre,Dezembro,0,01-01-2000
224,2001,Acre,Dezembro,0,01-01-2001
225,2002,Acre,Dezembro,1,01-01-2002
226,2003,Acre,Dezembro,1,01-01-2003
227,2004,Acre,Dezembro,7,01-01-2004
228,2005,Acre,Dezembro,2,01-01-2005
229,2006,Acre,Dezembro,0,01-01-2006
230,2007,Acre,Dezembro,0,01-01-2007
231,2008,Acre,Dezembro,0,01-01-2008
232,2009,Acre,Dezembro,1,01-01-2009
233,2010,Acre,Dezembro,0,01-01-2010
234,2011,Acre,Dezembro,4,01-01-2011
235,2012,Acre,Dezembro,1,01-01-2012
236,2013,Acre,Dezembro,3,01-01-2013
237,2014,Acre,Dezembro,6,01-01-2014
238,2015,Acre,Dezembro,8,01-01-2015
239,2016,Acre,Dezembro,6,01-01-2016
240,1998,Alagoas,Janeiro,0,01-01-1998
241,1999,Alagoas,Janeiro,58,01-01-1999
242,2000,Alagoas,Janeiro,11,01-01-2000
243,2001,Alagoas,Janeiro,5,01-01-2001
244,2002,Alagoas,Janeiro,12,01-01-2002
245,2003,Alagoas,Janeiro,150,01-01-2003
246,2004,Alagoas,Janeiro,9,01-01-2004
247,2005,Alagoas,Janeiro,83,01-01-2005
248,2006,Alagoas,Janeiro,29,01-01-2006
249,2007,Alagoas,Janeiro,33,01-01-2007
250,2008,Alagoas,Janeiro,55,01-01-2008
251,2009,Alagoas,Janeiro,104,01-01-2009
252,2010,Alagoas,Janeiro,23,01-01-2010
253,2011,Alagoas,Janeiro,41,01-01-2011
254,2012,Alagoas,Janeiro,36,01-01-2012
255,2013,Alagoas,Janeiro,49,01-01-2013
256,2014,Alagoas,Janeiro,54,01-01-2014
257,2015,Alagoas,Janeiro,81,01-01-2015
258,2016,Alagoas,Janeiro,24,01-01-2016
259,2017,Alagoas,Janeiro,38,01-01-2017
260,2017,Alagoas,Janeiro,38,01-01-2017
261,1998,Alagoas,Fevereiro,0,01-01-1998
262,1999,Alagoas,Fevereiro,20,01-01-1999
263,2000,Alagoas,Fevereiro,16,01-01-2000
264,2001,Alagoas,Fevereiro,4,01-01-2001
265,2002,Alagoas,Fevereiro,15,01-01-2002
266,2003,Alagoas,Fevereiro,33,01-01-2003
267,2004,Alagoas,Fevereiro,7,01-01-2004
268,2005,Alagoas,Fevereiro,31,01-01-2005
269,2006,Alagoas,Fevereiro,14,01-01-2006
270,2007,Alagoas,Fevereiro,28,01-01-2007
271,2008,Alagoas,Fevereiro,74,01-01-2008
272,2009,Alagoas,Fevereiro,32,01-01-2009
